Name_1,Name,a_host,b_host,PA_host,a_ring,b_ring,PA_ring,z,angle1,angle2,Dring/dhost,RA,Dec
SPRC3,3,5.7,2.8,325,12.1,2.9,66,0.037,86,74,2.11,10.2643333,-9.9411389
SPRC4,4,6,3,122,7,1,27,0.04,1,1,1,40.7433,-0.9526
SPRC7,7,4.2,3.2,150,17,10,50,0.06,72,60,4.28,118.143,29.3471389
SPRC10,10,6,2,320,6,1.5,40,0.042,78,82,1.21,125.159125,15.6166111
SPRC14,14,8.7,5.2,130,17.8,5.9,35,0.032,83,75,2.05,139.5665417,20.3681389
SPRC27,27,5.9,2.7,125,14.3,2.2,30,0.048,89,81,2.4,176.1834167,23.1625
SPRC39,39,7.1,4,115,15.8,3.6,50,0.029,62,76,2.22,197.0705,45.3764444
SPRC60,60,4,2,135,9,1.5,55,0.078,1,1,1,236.8513,38.9306
SPRC67,67,18.6,4.4,113,25.7,3.2,347,0.028,55,53,1.38,259.433875,40.6977778
SPRC69,69,5.9,3.6,135,16,2.8,32,0.025,85,73,2.47,312.023625,0.0688333
SPRC241,241,12,6,9,27.7,15.8,110,0.018,83,66,2,40.4875,-6.7923056
SPRC260,260,15.5,7,82,27.7,15.8,15,0.021,57,87,1.67,176.3760417,9.7291111
